class_id,by_code,by_name_ru,by_name_en,section,priority,merged_from,merge_reason,include_in_detector,include_in_classifier,rtsd_source,notes
0,1.1,Железнодорожный переезд со шлагбаумом,Railway crossing with a barrier,§1 Предупреждающие,1,,,-,YES,YES,1_1,
1,1.2,Железнодорожный переезд без шлагбаума,Railway crossing without a barrier,§1 Предупреждающие,1,,,YES,YES,1_2,
2,1.3.1,Однопутная железная дорога,Single-track railway,§1 Предупреждающие,2,,,YES,YES,1_3_1,Отдельно — пиктограмма отличается от 1.3.2
3,1.3.2,Многопутная железная дорога,Multi-track railway,§1 Предупреждающие,2,,,YES,YES,1_3_2,Отдельно — пиктограмма отличается от 1.3.1
4,1.4.1,Приближение к ж/д (1 полоска левая),Approaching railway (1 stripe left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно �� число и сторона полосок различимы
5,1.4.2,Приближение к ж/д (2 полоски левые),Approaching railway (2 stripes left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно
6,1.4.3,Приближение к ж/д (3 полоски левые),Approaching railway (3 stripes left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно
7,1.4.4,Приближение к ж/д (1 полоска правая),Approaching railway (1 stripe right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
8,1.4.5,Приближение к ж/д (2 полоски правые),Approaching railway (2 stripes right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
9,1.4.6,Приближение к ж/д (3 полоски правые),Approaching railway (3 stripes right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
10,1.5,Пересечение с трамвайной линией,Trams,§1 Предупреждающие,2,,,YES,YES,1_5,
11,1.6,Конец дороги с усовершенствованным покрытием,End of paved road,§1 Предупреждающие,3,,,YES,YES,1_6,Нет прямого аналога в RTSD — нужны доп. данные
12,1.7,Пересечение с круговым движением,Roundabout,§1 Предупреждающие,2,,,YES,YES,1_7,
13,1.8,Светофорное регулирование,Traffic signals,§1 Предупреждающие,1,,,YES,YES,1_8,
14,1.9,Разводной мост или паромная переправа,Opening bridge,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
15,1.10,Выезд на набережную,Departure to the embankment,§1 Предупреждающие,3,,,YES,YES,1_10,
16,1.11.1,Опасный поворот направо,Dangerous curve right,§1 Предупреждающие,1,,,YES,YES,1_11,Отдельно — стрелка зеркальна 1.11.2
17,1.11.2,Опасный поворот налево,Dangerous curve left,§1 Предупреждающие,1,,,YES,YES,1_11_1,Отдельно — стрелка зеркальна 1.11.1
18,1.12.1,Опасные повороты (первый направо),Dangerous curves first right,§1 Предупреждающие,2,,,YES,YES,1_12,Отдельно — направление различимо
19,1.12.2,Опасные повороты (первый налево),Dangerous curves first left,§1 Предупреждающие,2,,,YES,YES,1_12_2,Отдельно
20,1.13,Крутой спуск,Steep descent,§1 Предупреждающие,1,,,YES,YES,1_13,
21,1.14,Крутой подъём,Steep climb,§1 Предупреждающие,1,,,YES,YES,1_14,
22,1.15,Скользкая дорога,Slippery road,§1 Предупреждающие,2,,,YES,YES,1_15,
23,1.16.1,Искусственная неровность,Speed bump,§1 Предупреждающие,2,,,YES,YES,1_16,Отдельно — пиктограмма горб
24,1.16.2,Неровная дорога,Uneven road,§1 Предупреждающие,2,,,YES,YES,,Отдельно — пиктограмма волна
25,1.16.3,Неровная дорога (бугор),Uneven road bump,§1 Предупреждающие,3,,,YES,YES,,Отдельно — пиктограмма бугор
26,1.16.4,Неровная дорога (выбоины),Uneven road potholes,§1 Предупреждающие,3,,,YES,YES,,Отдельно — пиктограмма выбоины
27,1.17,Выброс гравия,Gravel surface,§1 Предупреждающие,2,,,YES,YES,1_17,
28,1.18.1,Сужение дороги с обеих сторон,Road narrows both sides,§1 Предупреждающие,2,,,YES,YES,1_18,Отдельно — форма треугольника уникальна
29,1.18.2,Сужение дороги справа,Road narrows right,§1 Предупреждающие,2,,,YES,YES,,Отдельно
30,1.18.3,Сужение дороги слева,Road narrows left,§1 Предупреждающие,2,,,YES,YES,,Отдельно
34,1.19,Двустороннее движение,Two-way traffic,§1 Предупреждающие,2,1.19.1 + 1.19.2,Временный вариант визуально идентичен,YES,YES,1_20,Объединить 1.19.1 и 1.19.2
35,1.20,Впереди пешеходный переход,Pedestrian crossing ahead,§1 Предупреждающие,1,,,YES,YES,1_20,
36,1.21,Дети,Children,§1 Предупреждающие,1,,,YES,YES,1_21,
37,1.22,Впереди велосипедный переезд,Intersection with bike path,§1 Предупреждающие,2,,,YES,YES,1_22,
38,1.23,Дорожные работы,Roadworks,§1 Предупреждающие,1,,,YES,YES,1_23,
39,1.24,Перегон скота,Cattle ahead,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
40,1.25,Дикие животные,Deer ahead,§1 Предупреждающие,2,,,YES,YES,1_25,
41,1.26,Падение камней,Falling rocks,§1 Предупреждающие,2,,,YES,YES,1_26,
42,1.27,Боковой ветер,Side wind,§1 Предупреждающие,2,,,YES,YES,1_27,
43,1.28,Низколетящие самолёты,Low-flying aircraft,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
44,1.29,Аварийно-опасный участок,Accident danger zone,§1 Предупреждающие,2,,,YES,YES,,Нет в RTSD — нужны доп. данные
45,1.30,Прочие опасности,Other dangers,§1 Предупреждающие,2,,,YES,YES,1_30,
46,1.31.1,Направление поворота направо,Hazard chevron right,§1 Предупреждающие,2,,,YES,YES,1_31,Отдельно — зеркальны
47,1.31.2,Направление поворота налево,Hazard chevron left,§1 Предупреждающие,2,,,YES,YES,,Отдельно
48,1.31.3,Направление поворота Т-образный,Hazard chevron T-junction,§1 Предупреждающие,3,,,YES,YES,,Отдельно — уникальная форма
49,1.31.4,Направление поворота направо (временный),Hazard chevron right temporary,§1 Предупреждающие,2,1.31.1,Временный = тот же рисунок,YES,YES,,Объединить с 1.31.1 ---
50,1.31.5,Направление поворота налево (временный),Hazard chevron left temporary,§1 Предупреждающие,2,1.31.2,Временный = тот же рисунок,YES,YES,,Объединить с 1.31.2 ---
51,1.32,Опасная обочина,Dangerous roadside,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
52,1.33,Гололедица,Ice on road,§1 Предупреждающие,2,,,YES,YES,1_33,
53,1.34,Затор на дороге,Congestion,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
54,1.35,Сезонные миграции земноводных,Seasonal migrations of amphibians,§1 Предупреждающие,3,,,YES,YES,,Очень редкий — нужны доп. данные
55,1.36,Контроль установленной скорости,Speed control,§1 Предупреждающие,2,,,YES,YES,,Нет в RTSD — камера — нужны доп. данные
56,1.37,Контроль выполнения требований ПДД,Traffic rules enforcement control,§1 Предупреждающие,3,,,YES,YES,,Нет в RTSD
57,1.38,Начало участка контроля средней скорости,Start of average speed control zone,§1 Предупреждающие,2,,,YES,YES,,Нет в RTSD — нужны доп. данные
58,1.39,Конец участка контроля средней скорости,End of average speed control zone,§1 Предупреждающие,2,,,YES,YES,,Нет в RTSD

59,2.1,Главная дорога,Priority road,§2 Приоритет,1,,,YES,YES,2_1,
60,2.2,Конец главной дороги,End of priority road,§2 Приоритет,1,,,YES,YES,2_2,
61,2.3.1,Пересечение со второстепенной дорогой,Intersection with secondary road,§2 Приоритет,1,,,YES,YES,2_3,
62,2.3.2,Примыкание второстепенной дороги справа,Secondary road junction right,§2 Приоритет,1,,,YES,YES,2_3_2,Отдельно — стрелка зеркальна
63,2.3.3,Примыкание второстепенной дороги слева,Secondary road junction left,§2 Приоритет,1,,,YES,YES,2_3_3,Отдельно
64,2.3.4,Пересечение равнозначных дорог,Crossroads,§2 Приоритет,2,,,YES,YES,,
65,2.4,Уступить дорогу,Give way,§2 Приоритет,1,,,YES,YES,2_4,
66,2.5,Движение без остановки запрещено,Stop,§2 Приоритет,1,,,YES,YES,2_5,
67,2.6,Преимущество встречного движения,Give way to oncoming traffic,§2 Приоритет,2,2.6.1 + 2.6.2,Временный вариант визуально идентичен,YES,YES,,Объединить 2.6.1 и 2.6.2
68,2.7,Преимущество перед встречным движением,Priority over oncoming traffic,§2 Приоритет,1,,,YES,YES,2_7,

69,3.1,Въезд запрещён,No entry,§3 Запрещающие,1,,,YES,YES,3_1,
70,3.2,Движение запрещено,No traffic,§3 Запрещающие,1,,,YES,YES,3_2,
71,3.3,Движение механических ТС запрещено,No motor vehicles,§3 Запрещающие,2,,,YES,YES,,
72,3.4,Движение грузовых автомобилей запрещено,No lorries,§3 Запрещающие,2,,,YES,YES,3_4,
73,3.5,Движение мотоциклов запрещено,No motorcycles,§3 Запрещающие,2,,,YES,YES,3_5,
74,3.6,Движение тракторов запрещено,No tractors,§3 Запрещающие,3,,,YES,YES,3_6,
75,3.7,Движение с прицепом запрещено,No trailers,§3 Запрещающие,3,,,YES,YES,,
76,3.8,Движение гужевых ТС запрещено,No horse-drawn carts,§3 Запрещающие,3,,,YES,YES,,Редкий
77,3.9,Движение велосипедов запрещено,No bicycles,§3 Запрещающие,2,,,YES,YES,,
78,3.10,Движение пешеходов запрещено,No pedestrians,§3 Запрещающие,2,,,YES,YES,3_10,
79,3.11,Ограничение массы,Weight limit,§3 Запрещающие,2,3.11.1 + 3.11.2,Временный = тот же рисунок жёлтый фон,YES,YES,3_11,Объединить
80,3.12,Ограничение нагрузки на ось,Axle weight limit,§3 Запрещающие,2,3.12.1 + 3.12.2,Временный = тот же рисунок жёлтый фон,YES,YES,,Объединить ---
81,3.13,Ограничение высоты,Height limit,§3 Запрещающие,2,,,YES,YES,3_13,
82,3.14,Ограничение ширины,Width limit,§3 Запрещающие,2,,,YES,YES,3_14,
83,3.15,Ограничение длины,Length limit,§3 Запрещающие,2,3.15.1 + 3.15.2,Временный = тот же рисунок жёлтый фон,YES,YES,,Объединить
84,3.16,Ограничение минимальной дистанции,Minimum distance limit,§3 Запрещающие,2,,,YES,YES,3_16,
85,3.17.1,Таможня,Customs,§3 Запрещающие,3,,,YES,YES,,Специфика — нужны доп. данные
86,3.17.2,Опасность,Danger,§3 Запрещающие,2,,,YES,YES,,
87,3.18.1,Поворот направо запрещён,No right turn,§3 Запрещающие,1,,,YES,YES,3_18,Отдельно — зеркальны
88,3.18.2,Поворот налево запрещён,No left turn,§3 Запрещающие,1,,,YES,YES,3_18_2,Отдельно
89,3.19,Разворот запрещён,No U-turn,§3 Запрещающие,1,,,YES,YES,3_19,
90,3.20,Обгон запрещён,No overtaking,§3 Запрещающие,1,3.20.1 + 3.20.2 + 3.20.3,Временный и с указанием скорости = тот же рисунок но нужно 3.20.3?,YES,YES,3_20,Объединить все варианты
91,3.21,Конец зоны запрещения обгона,End of no overtaking zone,§3 Запрещающие,2,3.21.1 + 3.21.2,Временный = тот же рисунок,YES,YES,3_21,Объединить
92,3.22,Обгон грузовым автомобилям запрещён,No overtaking by lorries,§3 Запрещающие,2,,,YES,YES,3_22,
93,3.23,Конец зоны запрещения обгона грузовым,End of no overtaking by lorries zone,§3 Запрещающие,2,,,YES,YES,,
94,3.24,Ограничение максимальной скорости,Maximum speed limit,§3 Запрещающие,1,3.24.1 + 3.24.2,Временный = тот же рисунок жёлтый фон,YES,YES,3_24,Объединить — КЛЮЧЕВОЙ КЛАСС
95,3.25,Конец зоны ограничения скорости,End of max speed limit zone,§3 Запрещающие,1,3.25.1 + 3.25.2,Временный = тот же рисунок,YES,YES,3_25,Объединить
96,3.26,Подача звукового сигнала запрещена,No horns,§3 Запрещающие,2,,,YES,YES,3_26,
97,3.27,Остановка запрещена,No stopping,§3 Запрещающие,1,,,YES,YES,3_27,
98,3.28,Стоянка запрещена,No parking,§3 Запрещающие,1,,,YES,YES,3_28,
99,3.29,Стоянка запрещена по нечётным числам,No parking on odd days,§3 Запрещающие,2,,,YES,YES,3_29,
100,3.30,Стоянка запрещена по чётным числам,No parking on even days,§3 Запрещающие,2,,,YES,YES,3_30,
101,3.31,Конец зоны всех ограничений,End of all restrictions zone,§3 Запрещающие,1,,,YES,YES,3_31,
102,3.32,Движение ТС с опасными грузами запрещено,No dangerous goods vehicles,§3 Запрещающие,2,,,YES,YES,3_32,
103,3.33,Зона с ограничением максимальной скорости,Maximum speed limit zone,§3 Запрещающие,2,,,YES,YES,3_33,Нет в RTSD — нужны доп. данные
104,3.34,Конец зоны с ограничением скорости,End of maximum speed limit zone,§3 Запрещающие,2,,,YES,YES,,Нет в RTSD
105,3.35,Движение на средствах персональной мобильности запрещено,No personal mobility devices,§3 Запрещающие,3,,,YES,YES,,Новый знак — нужны доп. данные

106,4.1.1,Движение прямо,Proceed straight,§4 Предписывающие,1,,,YES,YES,4_1_1,
107,4.1.2,Движение направо,Turn right,§4 Предписывающие,1,,,YES,YES,4_1_2,Отдельно — стрелка зеркальна
108,4.1.3,Движение налево,Turn left,§4 Предписывающие,1,,,YES,YES,4_1_3,Отдельно
109,4.1.4,Движение прямо или направо,Proceed straight or turn right,§4 Предписывающие,1,,,YES,YES,4_1_4,Отдельно — форма стрелок уникальна
110,4.1.5,Движение прямо или налево,Proceed straight or turn left,§4 Предписывающие,1,,,YES,YES,4_1_5,Отдельно
111,4.1.6,Движение направо или налево,Turn right or left,§4 Предписывающие,1,,,YES,YES,4_1_6,Отдельно
112,4.2.1,Объезд препятствия справа,Keep right,§4 Предписывающие,2,,,YES,YES,4_2_1,Отдельно — зеркальны
113,4.2.2,Объезд препятствия слева,Keep left,§4 Предписывающие,2,,,YES,YES,4_2_2,Отдельно
114,4.2.3,Объезд препятствия справа или слева,Keep right or left,§4 Предписывающие,3,,,YES,YES,4_2_3,
115,4.3,Круговое движение,Roundabout,§4 Предписывающие,1,,,YES,YES,4_3,
116,4.4,Движение легковых автомобилей,Passenger car traffic,§4 Предписывающие,3,,,YES,YES,,
117,4.5.1,Велосипедная дорожка,Bicycle path,§4 Предписывающие,2,,,YES,YES,,Отдельно от 4.5.2
118,4.5.2,Конец велосипедной дорожки,End of bicycle path,§4 Предписывающие,2,,,YES,YES,,Отдельно
119,4.6.1,Пешеходная дорожка,Footpath,§4 Предписывающие,2,,,YES,YES,,Отдельно от 4.6.2
120,4.6.2,Конец пешеходной дорожки,End of footpath,§4 Предписывающие,2,,,YES,YES,,Отдельно
121,4.7,Ограничение минимальной скорости,Minimum speed limit,§4 Предписывающие,2,,,YES,YES,,
122,4.8,Конец зоны ограничения минимальной скорости,End of minimum speed limit zone,§4 Предписывающие,2,,,YES,YES,,
123,4.9.1,Направление движения ТС с опасными грузами налево,Dangerous goods direction left,§4 Предписывающие,3,,,YES,YES,4_8_2,Отдельно — направление стрелки различимо
124,4.9.2,Направление движения ТС с опасными грузами прямо,Dangerous goods direction straight,§4 Предписывающие,3,,,YES,YES,4_8_3,Отдельно
125,4.9.3,Направление движения ТС с опасными грузами направо,Dangerous goods direction right,§4 Предписывающие,3,,,YES,YES,,Отдельно
126,4.10.1,Дорожка для всадников,Rider path,§4 Предписывающие,3,,,YES,YES,,Редкий
127,4.10.2,Конец дорожки для всадников,End of rider path,§4 Предписывающие,3,,,YES,YES,,Редкий
128,4.11.1,Начало пешеходной и велосипедной дорожки (раздельно),Start of pedestrian and bicycle path separated,§4 Предписывающие,2,,,YES,YES,,Отдельно — разметка разная
129,4.11.2,Начало пешеходной и велосипедной дорожки (совмещено),Start of pedestrian and bicycle path combined,§4 Предписывающие,2,,,YES,YES,,Отдельно

130,5.1,Автомагистраль,Motorway,§5 Информационные,1,,,YES,YES,5_3,
131,5.2,Конец автомагистрали,End of motorway,§5 Информационные,1,,,YES,YES,,
132,5.3,Дорога для автомобилей,Road for cars,§5 Информационные,2,,,YES,YES,,
133,5.4,Конец дороги для автомобилей,End of road for cars,§5 Информационные,2,,,YES,YES,5_4,
134,5.5,Дорога с односторонним движением,One-way road,§5 Информационные,2,,,YES,YES,5_5,
135,5.6,Конец дороги с односторонним движением,End of one-way road,§5 Информационные,2,,,YES,YES,5_6,
136,5.7,Выезд на дорогу с односторонним движением,Exit to one-way road,§5 Информационные,2,5.7.1 + 5.7.2,Левый и правый — зеркальны визуально,YES,YES,5_7_1,Объединить
137,5.8,Направления движения по полосам,Lane directions,§5 Информационные,2,5.8.1..5.8.8,Переменный контент — все варианты одна форма знака,YES,YES,5_15_1,Объединить все 8 вариантов
138,5.9.1,Полоса для маршрутных ТС,Bus lane,§5 Информационные,2,,,YES,YES,,Отдельно от 5.9.2
139,5.9.2,Конец полосы для маршрутных ТС,End of bus lane,§5 Информационные,2,,,YES,YES,,Отдельно
140,5.10,Дорога с полосой для маршрутных ТС,Road with bus lane,§5 Информационные,2,5.10.1..5.10.4,Все варианты одна форма,YES,YES,,Объединить
141,5.10v,Дорога с велосипедной дорожкой,Road with bicycle path,§5 Информационные,2,5.10.5..5.10.8,Все варианты одна форма,YES,YES,,Объединить
142,5.11.1,Место для разворота,U-turn place,§5 Информационные,2,,,YES,YES,,Отдельно от 5.11.2
143,5.11.2,Зона для разворота,U-turn zone,§5 Информационные,2,,,YES,YES,,Отдельно
144,5.12.1,Остановочный пункт автобуса и троллейбуса,Bus and trolleybus stop,§5 Информационные,2,,,YES,YES,5_16,Отдельно от 5.12.2
145,5.12.2,Место остановки автобуса и троллейбуса,Bus stop place,§5 Информационные,2,,,YES,YES,,Отдельно
146,5.13.1,Остановочный пункт трамвая,Tram stop,§5 Информационные,2,,,YES,YES,,Отдельно от 5.13.2
147,5.13.2,Место остановки трамвая,Tram stop place,§5 Информационные,2,,,YES,YES,,Отдельно
148,5.14.1,Остановочный пункт экспресс-маршрута,Express route stop,§5 Информационные,3,,,YES,YES,,
149,5.14.2,Место стоянки такси,Taxi stand,§5 Информационные,2,,,YES,YES,,
150,5.15,Место стоянки,Parking,§5 Информационные,2,,,YES,YES,5_14,
151,5.16,Пешеходный переход,Pedestrian crossing,§5 Информационные,1,5.16.1 + 5.16.2,Левый и правый — зеркально но форма одна,YES,YES,5_18 + 5_19_1,Объединить
152,5.16.3,Велосипедный переезд,Cyclist crossing,§5 Информационные,2,5.16.3 + 5.16.4,Левый и правый — зеркально,YES,YES,,Объединить 5.16.3 и 5.16.4
153,5.17.1-2,Подземный пешеходный переход,Underpass,§5 Информационные,2,5.17.1 + 5.17.2,Левый и правый — зеркально,YES,YES,5_17,Объединить
154,5.17.3-4,Надземный пешеходный переход,Footbridge,§5 Информационные,2,5.17.3 + 5.17.4,Левый и правый — зеркально,YES,YES,,Объединить
155,5.18.1,Рекомендуемая скорость,Recommended speed,§5 Информационные,2,,,YES,YES,5_18,Отдельно от 5.18.2
156,5.18.2,Конец зоны рекомендуемой скорости,End of recommended speed zone,§5 Информационные,2,,,YES,YES,,Отдельно
157,5.19,Тупик,Dead end,§5 Информационные,2,5.19.1 + 5.19.2 + 5.19.3,Все варианты визуально одна форма,YES,YES,,Объединить все 3
158,5.20,Предварительный указатель направлений,Advance direction sign,§5 Информационные,2,5.20.1 + 5.20.2 + 5.20.3,Переменный контент — форма одна,YES,YES,5_20,Объединить
159,5.21,Указатель направления,Direction sign,§5 Информационные,2,5.21.1 + 5.21.2,Переменный контент — форма одна,YES,YES,5_21,Объединить
160,5.22,Начало населённого пункта,Entrance to built-up area,§5 Информационные,1,5.22.1 + 5.22.2,Белый и жёлтый фон — тот же рисунок,YES,YES,5_20,Объединить
161,5.23,Конец населённого пункта,End of built-up area,§5 Информационные,1,5.23.1 + 5.23.2,Белый и жёлтый фон — тот же рисунок,YES,YES,5_21,Объединить
162,5.24,Начало границы населённого пункта,Entrance to locality,§5 Информационные,2,,,YES,YES,,Нет в RTSD — нужны доп. данные
163,5.25,Конец границы населённого пункта,End of locality,§5 Информационные,2,,,YES,YES,,Нет в RTSD
164,5.26.1,Наименование объекта река,Object name river,§5 Информационные,3,,,YES,YES,,Переменный текст — низкий приоритет
165,5.26.2,Наименование объекта улица,Object name street,§5 Информационные,3,,,YES,YES,,Переменный текст — низкий приоритет
166,5.27,Указатель расстояний,Distance indicator,§5 Информационные,3,,,YES,YES,,Переменный текст
167,5.28,Километровый знак,Kilometer sign,§5 Информационные,3,,,YES,YES,,Переменный текст
168,5.29,Номер дороги,Route number,§5 Информационные,2,5.29.1 + 5.29.2 + 5.29.3,Форма одна — цвет разный,YES,YES,,Объединить — переменный текст
169,5.30,Направление движения грузовых автомобилей,Direction for lorries,§5 Информационные,2,5.30.1 + 5.30.2 + 5.30.3,Форма одна — стрелка меняется,YES,YES,5_22,Объединить
170,5.31,Схема объезда,Detour scheme,§5 Информационные,3,,,YES,YES,,Переменный контент
171,5.32,Направление объезда,Detour direction,§5 Информационные,3,5.32.1 + 5.32.2 + 5.32.3,Форма одна — стрелка меняется,YES,YES,,Объединить
172,5.33,Стоп-линия,Stop line,§5 Информационные,2,,,YES,YES,,
173,5.34,Предварительный указатель перестроения,Advance lane change sign,§5 Информационные,2,5.34.1 + 5.34.2,Зеркальны,YES,YES,,Объединить
174,5.35,Реверсивное движение,Reversible lane,§5 Информационные,2,,,YES,YES,,Нет в RTSD — нужны доп. данные
175,5.36,Конец реверсивного движения,End of reversible lane,§5 Информационные,2,,,YES,YES,,
176,5.37,Выезд на дорогу с реверсивным движением,Entrance to road with reversible lane,§5 Информационные,3,,,YES,YES,,
177,5.38,Жилая зона,Residential area,§5 Информационные,1,,,YES,YES,5_22,
178,5.39,Конец жилой зоны,End of residential area,§5 Информационные,1,,,YES,YES,,
179,5.40,Пешеходная зона,Pedestrian zone,§5 Информационные,2,,,YES,YES,,
180,5.41,Конец пешеходной зоны,End of pedestrian zone,§5 Информационные,2,,,YES,YES,,
181,5.42,Платная автомобильная дорога,Toll road,§5 Информационные,2,,,YES,YES,,Нет в RTSD — нужны доп. данные
182,5.43,Конец платной автомобильной дороги,End of toll road,§5 Информационные,2,,,YES,YES,,

183,6.1,Пункт медицинской помощи,First aid,§6 Сервисные,2,,,YES,YES,6_2,
184,6.2,Больница,Hospital,§6 Сервисные,3,,,YES,YES,,
185,6.3,Автозаправочная станция,Gas station,§6 Сервисные,2,6.3.1 + 6.3.2 + 6.3.3 + 6.3.4,Все варианты — одна пиктограмма АЗС,YES,YES,6_3_1,Объединить все 4
186,6.4,Техническое обслуживание автомобилей,Vehicle maintenance,§6 Сервисные,2,,,YES,YES,6_4,
187,6.5,Мойка автомобилей,Car wash,§6 Сервисные,3,,,YES,YES,,
188,6.6,Телефон,Phone,§6 Сервисные,2,,,YES,YES,6_6,
189,6.7,Пункт питания,Food point,§6 Сервисные,2,,,YES,YES,6_7,
190,6.8,Питьевая вода,Drinking water,§6 Сервисные,3,,,YES,YES,,
191,6.9,Гостиница или мотель,Hotel or motel,§6 Сервисные,2,,,YES,YES,,
192,6.10,Кемпинг,Camping,§6 Сервисные,3,,,YES,YES,,
193,6.11,Место отдыха,Rest area,§6 Сервисные,3,,,YES,YES,,
194,6.12.1,Милиция,Police,§6 Сервисные,3,,,YES,YES,,
195,6.12.2,ГАИ,Traffic police post,§6 Сервисные,2,,,YES,YES,,Специфика РБ — нет в RTSD
196,6.13,Туалет,Toilet,§6 Сервисные,3,,,YES,YES,,
197,6.14,Пункт контроляtransportных средств,Vehicle inspection point,§6 Сервисные,3,,,YES,YES,,
198,6.15,Достопримечательность,Landmark,§6 Сервисные,3,,,YES,YES,6_15_1,
199,6.16,Пункт обслуживания системы BelToll,BelToll service point,§6 Сервисные,2,,,YES,YES,6_16,Уникально для РБ — нет в RTSD

200,7.1,Расстояние до объекта (полоски у ж/д),Distance to object,§7 Таблички,1,7.1.1 + 7.1.2 + 7.1.3 + 7.1.4,Различаются числом полосок — объединить в 1 класс,YES,YES,7_15,Объединить — уникальный визуал
201,7.2,Зона действия,Coverage area,§7 Таблички,2,7.2.1..7.2.6,Все варианты — белая табличка со стрелкой и цифрой,YES,YES,8_2_1,Объединить — уточняет зону знака
202,7.3,Направление действия,Direction of action,§7 Таблички,2,7.3.1 + 7.3.2 + 7.3.3,Стрелки в разные стороны — объединить,YES,YES,,Объединить — уточняет направление
203,7.4,Вид транспортного средства,Vehicle type,§7 Таблички,2,7.4.1..7.4.11,Все варианты — белая табличка с пиктограммой ТС,YES,YES,,Объединить — уточняет ТС
204,7.5,Время действия,Validity period,§7 Таблички,2,7.5.1..7.5.10,Все варианты — белая табличка с текстом времени,YES,YES,,Объединить — уточняет время действия знака
205,7.6,Способ постановки ТС на стоянку,Parking method,§7 Таблички,2,7.6.1..7.6.18,Все варианты — пиктограмма способа парковки,YES,YES,8_3_1,Объединить — уточняет способ парковки
206,7.7,Количество опасных поворотов,Number of dangerous turns,§7 Таблички,2,,,YES,YES,7_7,Уникальный визуал — число поворотов
207,7.8,Платные услуги,Paid services,§7 Таблички,3,,,YES,YES,,Текстовая табличка — низкий приоритет
208,7.9,Ограничение продолжительности стоянки,Parking time limit,§7 Таблички,2,,,YES,YES,,Уточняет знак стоянки
209,7.10,Место для осмотра автомобилей,Vehicle inspection place,§7 Таблички,3,,,YES,YES,,
210,7.11,Ограничение максимальной массы,Maximum mass limit,§7 Таблички,2,,,YES,YES,7_11,Уточняет ограничение массы
211,7.12,Нанесение разметки,Road marking,§7 Таблички,2,,,YES,YES,7_12,
212,7.13,Направление главной дороги,Direction of main road,§7 Таблички,2,,,YES,YES,8_13,Уникальная схема — визуально различима
213,7.14,Полоса движения,Traffic lane,§7 Таблички,2,,,YES,YES,7_14,Уточняет полосу
214,7.15,Пешеходы инвалиды по зрению,Blind pedestrians,§7 Таблички,2,,,YES,YES,,
215,7.16,Влажное покрытие,Wet surface,§7 Таблички,2,,,YES,YES,,Уточняет скользкую дорогу
216,7.17,Инвалиды,Disabled,§7 Таблички,2,,,YES,YES,8_4_1,Уникальный визуал — синяя табличка
217,7.18,Кроме инвалидов,Except disabled,§7 Таблички,2,,,YES,YES,8_4_4,
218,7.19,Класс опасного груза,Dangerous goods class,§7 Таблички,3,,,YES,YES,,
219,7.20,Эвакуатор,Tow truck,§7 Таблички,2,,,YES,YES,,Уточняет зону эвакуации
220,7.21,Скользкая полоса наката,Slippery track,§7 Таблички,2,,,YES,YES,,
221,7.22,Вид опасности,Type of danger,§7 Таблички,2,7.22.1 + 7.22.2 + 7.22.3 + 7.22.4,Все варианты — пиктограмма опасности,YES,YES,,Объединить
222,7.23,Экстренная помощь,Emergency help,§7 Таблички,2,,,YES,YES,,